,Place of interest,Type of place,Place address,Latitude,Longitude
214,Colegio Público República de Ecuador,Colegio Público,Calle Valle De Oro 41,40.38761083602051,-3.7252507882198085
215,Colegio Público República de El Salvador,Colegio Público,Calle Sacedon 2,40.34949911149915,-3.6979477280735917
216,Colegio Público República de Panamá Nº 1,Colegio Público,Calle Peones 2,40.42658755563361,-3.617602405153018
217,Colegio Público República de Paraguay,Colegio Público,Calle Manresa 60,40.49194816139676,-3.695267856666852
218,Colegio Público República de Uruguay,Colegio Público,Avenida Nuestra Señora De Valvanera 120,40.39347350069245,-3.741232360556739
219,Colegio Público República de Venezuela,Colegio Público,Calle Cerecinos 8,40.38358402272625,-3.713626711959121
220,Colegio Público Rosa Luxemburgo,Colegio Público,Calle Bardegueral 16,40.450031818221355,-3.7715711526219784
221,Colegio Público Rufino Blanco,Colegio Público,Calle General Alvarez De Castro 46,40.43821121285092,-3.7024604612596157
222,Colegio Público Sagunto,Colegio Público,Calle Paterna 14,40.34116249559141,-3.6849106315684015
223,Colegio Público San Benito,Colegio Público,Calle Juan Perez Zuñiga 36,40.4442650725657,-3.6469252698024386
224,Colegio Público San Carlos,Colegio Público,Calle Villastar 8,40.34402221395892,-3.7111491204293108
225,Colegio Público San Cristóbal,Colegio Público,Calle Bravo Murillo 41,40.43743329914089,-3.7044567612586508
226,Colegio Público San Eugenio y San Isidro,Colegio Público,Calle Peñuelas 31,40.402134715838024,-3.7031694724884066
227,Colegio Público San Ignacio de Loyola,Colegio Público,Avenida Abrantes 1,40.38484910708361,-3.7217220947079097
228,Colegio Público San Ildefonso,Colegio Público,Calle Alfonso Vi 1,40.41307968243987,-3.712170272137244
229,Colegio Público San Isidoro,Colegio Público,Calle Fuenterrabia 15,40.40650867169137,-3.6813417078981567
230,Colegio Público San Juan Bautista,Colegio Público,Calle Sorzano 1,40.451160716316814,-3.6590202395182456
231,Colegio Público San Juan Bosco,Colegio Público,Calle Santa Irene 2,40.41968378283889,-3.652559914198146
232,Colegio Público San Juan de la Cruz,Colegio Público,Calle Honduras 10,40.459537375982286,-3.67954186336266
233,Colegio Público San Miguel,Colegio Público,Avenida Virgen Del Carmen 32,40.47440638983908,-3.6522282145254072
234,Colegio Público San Pablo,Colegio Público,Plaza Peña Morraz 1,40.389399772744945,-3.6517608828166077
235,Colegio Público San Roque,Colegio Público,Calle Oxigeno 43,40.34686367965085,-3.703195663444635
236,Colegio Público Santa María,Colegio Público,Calle Casino 7,40.406129867007586,-3.7069233554021004
237,Colegio Público Santo Domingo,Colegio Público,Calle San Feliu De Guixols 7,40.39201829942787,-3.6458947958734735
238,Colegio Público Tirso de Molina,Colegio Público,Calle Bronce 1,40.392243024735016,-3.6881496913853913
239,Colegio Público Tomás Bretón,Colegio Público,Calle Alejandro Dumas 4,40.40106583461258,-3.7158617370259046
240,Colegio Público Valdebernardo,Colegio Público,Calle Tren De Arganda 9,40.40340595669721,-3.6178383019210627
241,Colegio Público Vasco Núñez de Balboa,Colegio Público,Calle Nuestra Señora De Valverde 149,40.49939736356688,-3.686422886278671
242,Colegio Público Vicálvaro,Colegio Público,Calle Forges 15,40.4050257573927,-3.601094918515076
243,Colegio Público Virgen del Cerro,Colegio Público,Calle Mohernando 1,40.39595533182647,-3.6491021370173584
244,Colegio Público Virgen del Cortijo,Colegio Público,Avenida Manoteras 63,40.487253962803756,-3.6600221185724506
245,Colegio Público Vázquez de Mella,Colegio Público,Calle Bailen 18,40.41209542948543,-3.7139985334961243
246,Colegio Público Winston Churchill,Colegio Público,Avenida Gran Via Del Este 5,40.4029655566785,-3.595313927334039
247,Colegio Público de Practicas Asunción Rincón,Colegio Público,Avenida Filipinas 5,40.43991596115193,-3.7109677259909084
248,Colegio Público Álvaro de Bazan,Colegio Público,Calle Zurich 10,40.42154331046489,-3.607241921623869
