Place of interest,Type of place,Place address,BiciMAD station,Station location
Colegio Público Leopoldo Calvo Sotelo,Colegio Público,Calle Castiello De Jaca 2,Manuel Caldeiro,Paseo de la Castellana 298
Colegio Público Lepanto,Colegio Público,Calle Valderrey 9,Francos Rodríguez,Calle Francos Rodríguez 62
Colegio Público Lope de Vega,Colegio Público,Calle Inglaterra 8,Marqués de Vadillo,Glorieta Marqués de Vadillo 9
Colegio Público Lorenzo Luzuriaga,Colegio Público,Calle Valencia De Don Juan 13,Pedro Rico,Calle Pedro Rico 4
Colegio Público Los Almendros,Colegio Público,Calle Ladera De Los Almendros 45,Pavones,Calle Hacienda de Pavones 342
Colegio Público Los Rosales,Colegio Público,Avenida Los Rosales 131,Embajadores 191,Calle Sodio 1B
Colegio Público Loyola de Palacio,Colegio Público,Calle Embalse De Navacerrada 60,Pavones,Calle Hacienda de Pavones 342
Colegio Público Luis Bello,Colegio Público,Calle Luis Cabrera 66,Prosperidad,Calle Suero de Quiñones 2
Colegio Público Luis Cernuda,Colegio Público,Calle Carril Del Conde 64,Carlota O’Neill,Calle Carlota O'Neill 32
Colegio Público Luis de Góngora,Colegio Público,Calle Sarria 49,Francos Rodríguez,Calle Francos Rodríguez 62
Colegio Público Madrid Sur,Colegio Público,Calle Puerto De Balbaran 133,Concordia,Calle Arroyo del Olivar 6
Colegio Público Maestro Padilla,Colegio Público,Avenida Peseta 112,Marqués de Vadillo,Glorieta Marqués de Vadillo 9
Colegio Público Manuel Bartolomé Cossío,Colegio Público,Calle Jose De Cadalso 19,Caramuel,Calle Caramuel 51
Colegio Público Manuel Núñez de Arenas,Colegio Público,Calle Martos 120,Concordia,Calle Arroyo del Olivar 6
Colegio Público Manuel Sáinz de Vicuña,Colegio Público,Calle Camino De Los Vinateros 104,Marroquina,Calle Camino de los Vinateros 108
Colegio Público Manuel de Falla,Colegio Público,Calle Jose Ortuño Ponce 2,Glorieta de Cádiz,Calle Antonio López 129
Colegio Público Marcelo Usera,Colegio Público,Calle Perales De Tajuña 1,Glorieta de Cádiz,Calle Antonio López 129
Colegio Público Margaret Thatcher,Colegio Público,Glorieta Playa De San Lorenzo 4,Carlota O’Neill,Calle Carlota O'Neill 32
Colegio Público Mariano José de Larra,Colegio Público,Calle Longares 11,Gutierre de Cetina,Calle Gutierre de Cetina 77
Colegio Público Marqués de Marcenado,Colegio Público,Calle Linneo 31,Paseo Imperial,Paseo Imperial 20
Colegio Público Marqués de Suanzes,Colegio Público,Avenida Veinticinco De Septiembre 1,Gutierre de Cetina,Calle Gutierre de Cetina 77
Colegio Público Martínez Montañés,Colegio Público,Calle Hacienda De Pavones 223,Pavones,Calle Hacienda de Pavones 342
Colegio Público María Moliner,Colegio Público,Calle Arcos De Jalon 34,Gutierre de Cetina,Calle Gutierre de Cetina 77
Colegio Público María de Villota,Colegio Público,Calle Enrique Garcia Alvarez 11,Pavones,Calle Hacienda de Pavones 342
